Gender,First Generation,Age,University,Major,Major Grouping,COR,Nationality,Employment,Uni Grouping,Final Status,How did you hear about this program?,Name of Company,Job Title (if applicable),Motivation,Motivation Additional Info
Female,No,34.0,AUB,Medicine,Health,Lebanon,Lebanese,Unemployed,AUB,Graduated,,,,,
Female,Yes,27.0,LU,Chemical Engineering,Engineering,Lebanon,Lebanese,Employed,LU,Graduated,,Gandour,Production Engineer,,
Female,No,32.0,AUB,Population Health,Health,UAE,Lebanese,Employed,AUB,Graduated,Social Media,"CCHO (Center of Clinical, Health Economics and Outcomes Research)",Population Health Researcher,,
Female,No,21.0,LIU,Physics,Sciences,Lebanon,Lebanese,Unemployed,LIU,Graduated,,,,,
Male,No,32.0,ENSIL-ENSCI,Mechatronics Engineering,Engineering,Lebanon,Lebanese,Employed,Unknown,Dropped,Word of Mouth,Dar Al Handasah Shair & Partners,Instrumentation & Control Engineer,,
Male,Yes,37.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Unemployed,AUB,Graduated,,,,,
Female,Yes,28.0,LAU,Mathematics,Sciences,UAE,Lebanese,Employed,LAU,Dropped,,Al Mawakeb School,Math teacher,,
Female,Yes,35.0,LU,Medical Physics,Health,Lebanon,Lebanese,Unemployed,LU,Active,Social Media,,,,
Male,No,26.0,AUC,Physics,Sciences,Egypt,Egyptian,Employed,Unknown,Dropped,AUB Website,Dar Al Handasah Shair & Partners,Instrumentation & Control Engineer,,
Female,No,38.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,Dar Al Handasah Shair & Partners,Senior Solution Developer,,
Female,No,27.0,AUB,CCE,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,,Norwegian Refugee Council,Database Officer,,
Male,No,41.0,BAU,Applied Statistics,Sciences,Lebanon,Palestinian,Employed,BAU,Graduated,AUB Website,,Physics Teacher,,
Male,Yes,28.0,USJ,Electrical Engineering,Engineering,Lebanon,Lebanese,Employed,USJ,Graduated,Word of Mouth,Dar Al Handasah Shair & Partners,Electrical Engineer,,
Male,No,23.0,LU,Mechanical Engineering,Engineering,France,Canadian,Unemployed,LU,Graduated,AUB Website,,,,
Male,No,22.0,AUB,CCE,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,,PwC,,,
Male,No,27.0,AUB,Business Administration,Business,UAE,Lebanese,Employed,AUB,Graduated,,PwC,Senior Consultant,,
Male,No,37.0,AUB,ECE,Engineering,Saudi Arabia,Jordanian,Employed,AUB,Graduated,,Nesma and Partners,Project Control,,
Male,No,43.0,Balamand,Computer Engineering,Engineering,UAE,Lebanese,Employed,Balamand,Graduated,,Rabdan Academy,Quality Assurance Section Manager,,
Male,Yes,30.0,BAU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Unemployed,BAU,Dropped,,,,,
Male,No,27.0,MIT,Electrical Engineering,Engineering,Lebanon,Jordanian,Employed,Unknown,Dropped,,Dar Al Handasah Shair & Partners,Electrical Engineer - Group Leader,,
Male,No,35.0,University of San Diego,ECE,Engineering,USA,Syrian,Employed,Unknown,Dropped,,MyVitaAI,Inventor & CEO,,
Female,No,30.0,BAU,Engineering,Engineering,Saudi Arabia,Lebanese,Employed,BAU,Dropped,An Ad on Social Media,,Manager,,
Female,Yes,33.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Graduated,AUB Website,World Health Organization,Surveillance consultant,,
Male,No,24.0,LIU,Economics,Business,Lebanon,Lebanese,Employed,LIU,Dropped,Instagram Organic,Ghaddar Machinery Co.,Account manager,,
Female,Yes,45.0,AUB,ECE,Engineering,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,KVA,Customer Services Manager,,
Female,No,39.0,AUB,Public Health,Health,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,American University of Beirut,Biomedical IRB Administrator,,
Male,Yes,44.0,AUB,Engineering Management,Engineering,Saudi Arabia,Lebanese,Employed,AUB,Dropped,Facebook (in form),Cisco Systems,Global Systems Engineering Manager,,
Female,No,23.0,AUB,Business Administration,Business,Lebanon,Lebanese,Employed,AUB,Dropped,Email from AUB,Hasan Khalife,Business Analyst,,
Male,Yes,30.0,IUL,Surveying Engineer,Engineering,Lebanon,Lebanese,Employed,IUL,Inactive,AUB Website,American university in Beirut,graduate research assistant,,
Male,Yes,25.0,LU,Physics,Sciences,Lebanon,Lebanese,Unemployed,LU,Graduated,Word of Mouth,,,,
Female,Yes,23.0,BAU,Mathematics,Sciences,Lebanon,Lebanese,Employed,BAU,Graduated,AUB Website,AmideastLebanon,SAT Instructor,,
Male,Yes,33.0,Antonine University,Telecommunications and Networks Engineering,Engineering,Lebanon,Lebanese,Employed,Antonine University,Graduated,Email from AUB,Medair,Application and Data Engineer,,
Male,No,25.0,AUL,CCE,Engineering,Lebanon,Lebanese,Employed,AUL,Graduated,Word of Mouth,Emakina,Webmaster,,
Male,Yes,27.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Inactive,Word of Mouth,Fits Consulting,Solution Architect,,
Male,No,38.0,AUB,Physics,Sciences,Lebanon,Lebanese,Employed,AUB,Dropped,Instagram,self-employed,IT Consultant,,
Female,No,42.0,USJ,Physics,Sciences,Qatar,Lebanese,Employed,USJ,Graduated,Social Media,Lebabon school of Qatar,Physics teacher,,
Male,Yes,34.0,AUL,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUL,Graduated,AUB Website,Lebanese General Security,Inspector,,
Male,No,39.0,Applied Science University,Computer information systems,CS/IT/MIS,Palestine,Palestinian,Employed,Unknown,Graduated,AUB Website,Tawazon,Head of tech,,
Male,Yes,38.0,LU,Game Development and Design,CS/IT/MIS,Lebanon,Lebanese,Employed,LU,Graduated,Facebook (in form),Monty Mobile,Game Development Team Lead,,
Female,Yes,31.0,LU,Statistics,Sciences,Lebanon,Lebanese,Employed,LU,Graduated,Facebook (in form),Monty Mobile,,,
Female,Yes,32.0,CNAM,Computer Engineering,Engineering,Lebanon,Lebanese,Employed,CNAM,Graduated,Facebook,Monty Mobile,Senior backend developer,,
Female,No,41.0,LAU,Computer Science,CS/IT/MIS,Saudi Arabia,Lebanese,Employed,LAU,Graduated,Instagram,HBSA,IT lecturer,,
Male,No,23.0,BAU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,BAU,Inactive,Facebook,CMA CGM,Internship Mechanical engineer,,
Female,Yes,38.0,AUB,Computer Science,CS/IT/MIS,Lebanon,Lebanese,Employed,AUB,Graduated,Facebook,International Energy Solutions,Research and Feasibility studies,,
Male,Yes,33.0,LU,Actuarial Sciences,Sciences,Kuwait,Lebanese,Employed,LU,Graduated,Word of Mouth,Kuwait Financial Center,Vice President - Systems,,
Male,Yes,37.0,IUL,CCE,Engineering,Saudi Arabia,Lebanese,Employed,IUL,Graduated,Instagram (in form),Ipsotek Ltd.,Country Manager,,
Male,No,28.0,AUB,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,AUB,Graduated,An Ad on Social Media,Eurisko Mobility,DevOps,,
Male,No,42.0,IUL,CCE,Engineering,Lebanon,Lebanese,Employed,IUL,Graduated,Word of Mouth,Monty Mobile,Data Director,,
Female,No,40.0,NDU,CCE,Engineering,Qatar,Lebanese,Employed,NDU,Graduated,AUB Website,Microsoft,Customer Success Manager,,
Male,Yes,32.0,LU,Architecture,Engineering,UAE,Lebanese,Employed,LU,Graduated,AUB Website,Obermeyer Middle East,Senior Architect,,
Male,No,31.0,LIU,Mechanical Engineering,Engineering,Lebanon,Palestinian,Employed,LIU,Inactive,Facebook,Doctors without borders,Flying Health information systems officer,,
Male,No,27.0,Sagesse,Law,Arts & Others,Lebanon,Lebanese,Employed,Sagesse,Dropped,Instagram,Kamal Abou Zahr Law Firm,Junior Lawyer,,
Female,No,40.0,AUB,Masters of Public Health,Health,Lebanon,Lebanese,Employed,AUB,Dropped,An ad on social media,American University of Beirut,Principal Clinical Applications Analyst,,
Female,No,33.0,LIU,Medical Sciences,Health,Lebanon,Lebanese,Employed,LIU,Graduated,An Ad on Social Media,Let's Graduate Scientific Academy,CEO and Founder,,
Male,Yes,36.0,NDU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Employed,NDU,Inactive,AUB Website,IMPEX,Assistant Service Manager,,
Male,No,24.0,AUB,Chemistry,Sciences,Lebanon,Lebanese,Unemployed,AUB,Dropped,AUB Website,,,,
Female,No,41.0,LAU,Graphic Design,Arts & Others,Lebanon,Lebanese,Unemployed,LAU,Graduated,Word of Mouth,,,,
Female,No,47.0,Unknown,Environmental Engineering,Engineering,Egypt,Egyptian,Unemployed,Unknown,Dropped,Google,,,,
Male,No,29.0,Unknown,Marketing,Business,UAE,Lebanese,Employed,Unknown,Inactive,Word of Mouth,OMD (Optimum Media Direction),Senior Performance Executive,,
Female,Yes,27.0,LU,Physics,Sciences,UAE,Lebanese,Employed,LU,Graduated,AUB Website,Emirates Airlines,Flight Attendant,,
Male,No,39.0,CU,Medicine,Health,Saudi Arabia,Egyptian,Employed,Unknown,Active,Facebook,"Ministry of health, KSA",Project manager,,
Male,Yes,39.0,USJ,Social Sciences,Sciences,Lebanon,Lebanese,Unemployed,USJ,Dropped,AUB Website,,,,
Male,Yes,27.0,Unknown,Electrical  & Computer Engineering,Engineering,UAE,Lebanese,Employed,Unknown,Inactive,AUB Website,Clemenceau Medical Center,Billing Officer,,
Male,No,30.0,Unknown,Business Administration,Business,UAE,French,Unemployed,Unknown,Graduated,Word of Mouth,,,,
Male,Yes,53.0,AUB,Engineering Technologies,Engineering,UAE,Lebanese,Employed,AUB,Graduated,Email from AUB,ETTS,CEO,,
Female,No,27.0,AUB,Engineering Management,Engineering,Lebanon,Lebanese,Employed,AUB,Dropped,An ad on Google search,Leading Modern Company for Logistics Services,Senior Operations Analyst,,
Male,No,33.0,NDU,Finance,Business,Lebanon,Lebanese,Employed,NDU,Dropped,Facebook,Blom bank,Internal financial reporting analyst,,
Female,No,26.0,USJ,Dentistry- Speciality,Health,Lebanon,Lebanese,Employed,USJ,Dropped,Instagram,Self-employed at Tohme Clinic,Prosthodontist,,
Female,No,30.0,Unknown,Business Administration,Business,UAE,American,Unemployed,Unknown,Dropped,Word of Mouth,,,,
Female,No,33.0,AUB,Business Management,Business,Qatar,Lebanese,Employed,AUB,Dropped,Instagram,Elan Decaux,Sales executive,,
Male,No,24.0,NDU,Mechanical Engineering,Engineering,Lebanon,Lebanese,Unemployed,NDU,Graduated,AUB Website,,,,
Male,Yes,38.0,LU,Pharmacy,Health,Lebanon,Lebanese,Employed,LU,Graduated,Instagram,Internnational Medical Corps,"MHPSS, Senior Pharmacist",,
Male,Yes,25.0,Balamand,Engineering Technologies,Engineering,Lebanon,Lebanese,Unemployed,Balamand,Dropped,Instagram,,,,
Male,No,31.0,Unknown,Chemical Engineering,Engineering,Netherlands,Lebanese,Unemployed,Unknown,Inactive,An ad on Google search,,,,
